date	Marine Le Pen	François Fillon	Abstention, blanc ou nul
09/04/2016	24.12	42.88	33.0
09/05/2016	24.5	45.5	30.0
09/06/2016	23.8	44.2	32.0
09/09/2016	24.96	39.04	36.0
09/12/2016	22.11	44.89	33.0
