,code,reg,alf15,alf14,alf13,alf12,alf11,alf10,alf09,alf08,alf07,alf06,alf05,alf04,alf03,alf02,alf01,alf00,alf99,alf98,alf97,alf96,alf95,alf94,alf93,af15,af14,af13,af12,af11,af10,af09,af08,af07,af06,af05,af04,af03,af02,af01,af00,af99,af98,af97,af96,af95,af94,af93,apl15,apl14,apl13,apl12,apl11,apl10,apl09,apl08,apl07,apl06,apl05,apl04,apl03,apl02,apl01,apl00,apl99,apl98,apl97,apl96,apl95,apl94,apl93
37,37,24,7178.0,7316,7229,7222,7313,7286,7555,7479,6883,6908,6990,7073,7117,7349,7445,7371,7169,7085,6763,6621,6601,6262,6014,42473.0,41779,41239,40594,40289,40062,39911,39781,39750,39902,39754,36835,36303,35757,35485,35100,34743,32303,34117,34072,33705,33318,32884,29661.0,29744.0,29464.0,28787.0,27735.0,26958.0,26901.0,27053.0,25601.0,25318.0,25948.0,26178.0,26609.0,27405.0,28124.0,28659.0,29473.0,30064.0,30080.0,30399.0,29865.0,28741.0,27677.0
38,38,82,16997.0,17161,16810,16465,16602,16505,16859,16846,15408,15040,15284,15086,14937,15384,15770,16220,16307,16056,16071,16251,16468,16491,15834,102530.0,102338,101419,99898,99166,98235,97400,96509,95692,94830,93973,88338,86572,85178,84379,83079,82571,76423,80276,79696,78404,77684,76831,56959.0,57479.0,56631.0,54995.0,55146.0,53584.0,53949.0,54576.0,51981.0,51574.0,53975.0,54253.0,55373.0,56656.0,57491.0,57972.0,59685.0,60027.0,59240.0,60491.0,58730.0,56454.0,52748.0
39,39,43,4034.0,4199,4267,4277,4360,4357,4550,4480,4172,4012,4084,3938,3723,3750,3695,3687,3646,3423,3350,3279,3322,3246,3211,17597.0,17807,17899,17885,18004,18234,18346,18382,18433,18429,18507,17349,17225,17098,17168,16930,16703,15768,16538,16412,16301,16086,16075,9432.0,9848.0,9858.0,9733.0,9817.0,9654.0,9906.0,9957.0,9434.0,9402.0,9862.0,9933.0,10198.0,10513.0,10689.0,11035.0,11444.0,11736.0,11605.0,11805.0,11683.0,11544.0,11233.0
40,40,72,7930.0,7914,7855,7688,7690,7642,7778,7503,6825,6763,6587,6365,6299,6392,6550,6541,6423,6212,6027,6004,5955,5537,5327,23882.0,23865,23679,23531,23275,22882,22644,22400,21978,21493,21130,18774,18083,17702,17450,17061,16650,15298,15842,15655,15402,15053,14948,8512.0,8629.0,8499.0,8326.0,8293.0,7951.0,7771.0,7873.0,7350.0,7197.0,7579.0,7780.0,8017.0,8506.0,8699.0,8976.0,9093.0,9185.0,9229.0,9476.0,9304.0,9058.0,8961.0
41,41,24,4836.0,4885,4839,4752,4658,4720,4813,4717,4215,4071,4055,3901,3780,3839,3851,3792,3720,3646,3455,3252,3326,3134,2934,23036.0,23046,22950,22720,22627,22608,22532,22417,22190,22020,21822,20601,20229,20070,20024,19927,19856,18679,19622,19474,19325,19081,19017,12519.0,12693.0,12547.0,12338.0,12108.0,12036.0,12208.0,12054.0,11479.0,11398.0,11750.0,11947.0,12117.0,12475.0,12870.0,13206.0,13647.0,13994.0,14244.0,14091.0,13805.0,13665.0,13164.0
42,42,82,15078.0,14957,14906,14900,14801,15096,15402,15542,14547,14499,14533,14438,14195,14574,14604,14643,14386,14251,13872,13946,13949,13789,13784,57446.0,57231,56734,56173,55915,55674,55350,55184,54939,54707,54634,52097,51427,51377,51485,51474,51961,49432,51981,52328,52306,52213,52292,38773.0,39476.0,39592.0,38974.0,38483.0,37877.0,38275.0,38468.0,36753.0,37130.0,38391.0,38961.0,40113.0,41606.0,42479.0,43561.0,44042.0,44806.0,45668.0,46683.0,46247.0,45351.0,44407.0
43,43,83,4414.0,4368,4350,4371,4351,4369,4480,4507,4152,4093,4137,4188,4213,4229,4320,4318,4083,3932,3882,3735,3708,3474,3390,15769.0,15842,15848,15807,15716,15602,15605,15565,15388,15200,15063,14101,13828,13655,13464,13373,13135,12415,12850,12627,12499,12325,12251,6818.0,7132.0,7334.0,7405.0,7492.0,7369.0,7451.0,7551.0,7284.0,7092.0,7343.0,7347.0,7628.0,8062.0,8126.0,8189.0,8336.0,8685.0,8729.0,8949.0,8884.0,8797.0,8725.0
44,44,52,18483.0,18518,18480,18514,18552,18383,18769,18475,16970,16441,16547,16059,15954,16650,16914,17127,16950,16671,16029,16363,16518,16215,16067,110310.0,108686,106751,104629,103687,102490,101360,99988,98530,97403,96396,90230,88155,86907,85862,84436,83578,77357,81982,81652,81169,80937,80829,58624.0,57825.0,56936.0,55199.0,54031.0,52462.0,52172.0,51747.0,49029.0,48973.0,51470.0,52068.0,53186.0,56117.0,58179.0,59884.0,61066.0,62023.0,61739.0,62421.0,61849.0,60536.0,59708.0
45,45,24,10586.0,10631,10425,10217,10038,9910,9873,9627,8756,8424,8351,7994,7755,7728,7747,7708,7663,7463,7315,7211,7279,7121,6810,51523.0,51180,50619,49813,49379,49139,48761,48144,47975,47727,47444,43915,42995,42580,42324,42070,42055,39235,41431,40824,40757,40421,40179,29222.0,29363.0,29200.0,28565.0,28103.0,27203.0,27027.0,27241.0,25759.0,25278.0,26163.0,26260.0,26583.0,27466.0,28005.0,28975.0,30005.0,30593.0,30728.0,30341.0,29867.0,29369.0,28741.0
46,46,73,3129.0,3198,3183,3184,3197,3162,3175,3179,2962,2906,2963,2915,2859,2879,2900,2915,2891,2825,2748,2680,2595,2525,2451,9321.0,9437,9419,9431,9525,9542,9602,9644,9567,9622,9574,8673,8480,8417,8283,8134,8041,7421,7749,7582,7454,7392,7342,4671.0,4672.0,4682.0,4641.0,4670.0,4589.0,4613.0,4554.0,4318.0,4323.0,4558.0,4624.0,4731.0,4976.0,5040.0,5209.0,5282.0,5308.0,5313.0,5278.0,5161.0,5154.0,4946.0
47,47,72,8621.0,8693,8696,8643,8423,8495,8473,8358,7902,7699,7806,7778,7730,7948,8102,8023,7771,7702,7483,7272,7080,6911,6781,19646.0,19751,19622,19337,19198,19072,18987,18803,18806,18582,18550,17271,16976,16909,16849,16587,16581,15587,16265,16241,16164,16105,15886,7953.0,8060.0,8087.0,7884.0,7786.0,7703.0,7841.0,7797.0,7386.0,7436.0,7777.0,7960.0,8418.0,8912.0,9184.0,9390.0,9716.0,10079.0,10187.0,10468.0,10410.0,10274.0,10275.0
48,48,91,1150.0,1148,1179,1168,1187,1145,1156,1146,1064,1041,1094,1081,1070,1112,1115,1155,1123,1148,1161,1100,1074,1042,1021,4456.0,4438,4429,4393,4375,4406,4442,4395,4352,4299,4274,3900,3783,3685,3645,3619,3603,3261,3546,3502,3472,3384,3365,2391.0,2396.0,2389.0,2340.0,2261.0,2252.0,2179.0,2202.0,2055.0,2012.0,2009.0,1910.0,1949.0,2017.0,1972.0,1973.0,1926.0,1884.0,1851.0,1854.0,1890.0,1755.0,1745.0
49,49,52,10225.0,10209,10115,10304,10471,10303,10462,10331,9281,8980,9078,8814,8876,9119,9172,9137,9218,9100,9021,9095,9254,9159,9125,63044.0,62833,62007,61469,60845,60217,59539,58892,58380,57902,57369,54688,54028,53599,53538,53329,53561,50824,53241,53380,53363,53318,53317,38798.0,39533.0,39373.0,38391.0,37650.0,36842.0,37570.0,37188.0,35125.0,35138.0,36470.0,37495.0,38853.0,40667.0,42187.0,43040.0,44432.0,44908.0,45074.0,45984.0,45708.0,45156.0,44135.0
50,50,25,7533.0,7609,7806,7779,7876,7955,8096,8171,7664,7489,7674,7750,8003,8138,8049,8207,7998,7766,7450,7240,7127,6790,6551,33336.0,33209,33355,33308,33398,33494,33752,33833,34107,34095,34278,31797,31563,31556,31644,31849,31951,30451,31880,31897,31673,31491,31167,20992.0,21525.0,21640.0,21356.0,20840.0,20726.0,21256.0,21206.0,20545.0,20523.0,21428.0,21832.0,22592.0,23422.0,24018.0,24819.0,25162.0,25526.0,25693.0,26151.0,25433.0,25221.0,25027.0
51,51,21,6587.0,6636,6547,6549,6554,6519,6684,6642,6147,6043,6036,5863,5954,6049,6092,6234,6065,6003,5823,5487,5372,5123,5008,37731.0,37694,37316,37095,36947,36868,36829,36754,36793,36917,37213,34411,34372,34518,34800,34980,35244,33056,35052,35106,34740,34708,34705,34672.0,34971.0,34273.0,33362.0,32981.0,31964.0,32495.0,32491.0,30865.0,30672.0,31721.0,31392.0,32293.0,33141.0,33764.0,34799.0,35688.0,36038.0,35912.0,36784.0,35677.0,35316.0,33771.0
52,52,21,3080.0,3135,3208,3157,3202,3166,3297,3234,2987,2950,2904,2823,2852,2941,2817,2771,2696,2570,2339,2296,2261,2081,2007,11239.0,11328,11343,11376,11626,11782,11938,12114,12389,12631,12818,12089,12119,12209,12275,12407,12671,12187,12769,12822,12801,12751,12772,8372.0,8545.0,8599.0,8623.0,8614.0,8732.0,8968.0,9040.0,8731.0,8707.0,8947.0,9119.0,9478.0,9805.0,10059.0,10360.0,10773.0,11080.0,11297.0,11626.0,11575.0,11581.0,11482.0
53,53,52,4085.0,4192,4192,4161,4110,4200,4171,4134,3723,3542,3462,3327,3390,3438,3430,3504,3509,3468,3453,3412,3510,3500,3441,23058.0,23219,23175,22962,22802,22837,22733,22350,22141,22033,21869,20800,20468,20270,20067,19890,19796,18788,19706,19747,19614,19500,19513,10622.0,10903.0,11106.0,11072.0,11311.0,11111.0,11290.0,11162.0,10608.0,10604.0,11090.0,11324.0,11588.0,11924.0,12075.0,12607.0,13133.0,13600.0,13741.0,13979.0,13959.0,13678.0,13388.0
54,54,41,13099.0,13231,13379,13390,13469,13816,14387,14671,13649,13414,13869,13729,13578,13909,13996,13814,13699,13707,13322,13207,13114,12690,12247,46816.0,46590,46357,45805,45821,46250,46443,46463,47165,47501,47868,44818,44341,44545,44980,45189,45735,43461,46025,46330,46212,46087,46125,34935.0,35201.0,34901.0,34195.0,34157.0,33660.0,33513.0,34037.0,32978.0,33037.0,34164.0,34576.0,35619.0,36851.0,37561.0,38470.0,39708.0,40466.0,40395.0,41446.0,41817.0,41983.0,41274.0
55,55,41,4070.0,4238,4348,4526,4583,4587,4673,4592,4321,4241,4200,4173,4205,4243,4159,4086,3992,3783,3584,3342,3169,2946,2704,12021.0,12173,12295,12376,12406,12537,12677,12759,12924,12872,12960,12006,11861,11856,11878,11998,12082,11575,12123,12206,12257,12200,12274,5963.0,6090.0,6141.0,6120.0,6131.0,6205.0,6469.0,6471.0,6241.0,6259.0,6455.0,6580.0,6945.0,7172.0,7286.0,7599.0,7852.0,8031.0,8243.0,8216.0,8310.0,8461.0,8457.0
