circo,candidat1,candidat2,candidat3,color1,color2,color3,score1,score2,score3,nom circo
53-3,YANNICK FAVENNEC,JOSSELIN CHOUZY,,UDI,REM,,0.36023111090979143,0.2907674597474215,,Davy Champion
54-1,CAROLE GRANDJEAN,CHAYNESSE KHIROUNI,,REM,SOC,,0.2538299583866455,0.24230733933104803,,Davy Champion
54-2,LAURENT GARCIA,HERVE FERON,,MDM,SOC,,0.2927493474691625,0.2594469008278884,,Davy Champion
54-3,CHRISTIAN ECKERT,XAVIER PALUSZKIEWICZ,,SOC,REM,,0.25517179986799093,0.23685510268711868,,Davy Champion
54-4,PHILIPPE BUZZI,DOMINIQUE BILDE,,REM,FN,,0.2767267280919488,0.2604147948978902,,Davy Champion
54-6,CEDRIC MARSOLLE,CAROLINE FIAT,,FN,FI,,0.36819779818131293,0.24450307049617864,,Davy Champion
55-2,JEAN-LOUIS DUMONT,EMILIE CARIOU,,SOC,REM,,0.2406172956571042,0.21122852087948615,,Davy Champion
56-1,HERVE PELLOIS,CHRISTINE PENHOUET,,REM,LR,,0.3901233891924743,0.22091693523086045,,Davy Champion
56-2,PHILIPPE LE RAY,DAVID JAN,,LR,FI,,0.4282745198707618,0.16635923384800852,,Davy Champion
56-3,NICOLE LE PEIH,SOIZIC PERRAULT,,REM,LR,,0.3277954746081172,0.19787052881184197,,Davy Champion
56-4,PAUL MOLAC,MARIE-HELENE HERRY,,REM,LR,,0.3503427438842975,0.1855816011302704,,Davy Champion
56-5,GWENDAL ROUILLARD,DAVID DREGOIRE,,REM,LR,,0.4367147312016051,0.1524709712579658,,Davy Champion
56-6,PHILIPPE NOGUES,JEAN-MICHEL JACQUES,,DVG,REM,,0.2690096664989806,0.2640642490454992,,Davy Champion
57-1,AURELIE FILIPPETTI,BELKHIR BELHADDAD,,SOC,REM,,0.24613410184349324,0.2397444173988309,,Davy Champion
57-2,LUDOVIC MENDES,JEAN FRANCOIS,,REM,LR,,0.2997242537542602,0.17112272889862903,,Davy Champion
57-3,RICHARD LIOGER,MARIE-JO ZIMMERMANN,,REM,LR,,0.30482185363415326,0.30274246038688585,,Davy Champion
57-4,AMELIE DE LA ROCHERE,MATHILDE HUCHOT,,FN,REM,,0.2742609714273622,0.25804991602127464,,Davy Champion
57-6,CHRISTOPHE AREND,FLORIAN PHILIPPOT,,REM,FN,,0.26514095263036813,0.2558002713567448,,Davy Champion
57-7,PAOLA ZANETTI,KEVIN PFEFFER,,SOC,FN,,0.24292792601383925,0.23126634101489443,,Davy Champion
57-8,BRAHIM HAMMOUCHE,LIONEL BURRIELLO,,MDM,FI,,0.32489125041259553,0.21403984636449314,,Davy Champion
57-9,ISABELLE RAUCH,PAULINE LAPOINTE-ZORDAN,,REM,LR,,0.3317716627011429,0.19793039460713635,,Davy Champion
58-1,PERRINE GOULET,GAETAN GORCE,,REM,SOC,,0.26076105004329153,0.1620421268635966,,Davy Champion
58-2,PATRICE PERROT,CHRISTIAN PAUL,,REM,SOC,,0.2333679117079591,0.23142966162926826,,Davy Champion
59-1,FRANCOIS LAMY,CHRISTOPHE ITIER,,SOC,REM,,0.21282745251010937,0.2059876377427072,,Davy Champion
59-10,VINCENT LEDOUX,SOPHIE TAIEB,,LR,REM,,0.23068180364093158,0.22554647999285493,,Davy Champion
59-11,LAURENT PIETRASZEWSKI,SEBASTIEN POLVECHE,,REM,FI,,0.24192587055149425,0.14861624017945113,,Davy Champion
59-12,CHRISTIAN BATAILLE,GERARD PHILIPPE,,DVG,FN,,0.21233784431680375,0.20964847116952312,,Davy Champion
59-13,CHRISTIAN HUTIN,PHILIPPE EYMERY,,DVG,FN,,0.28227657410290447,0.22458353025543434,,Davy Champion
59-14,JULIEN LEMAITTE,JEAN-PAUL TISSERAND,,REM,FN,,0.24898823320378927,0.24709880781672355,,Davy Champion
59-15,PASCAL PRINCE,JENNIFER DE TEMMERMAN,,FN,REM,,0.23908384008146563,0.2289215246993274,,Davy Champion
59-16,HORTENSE DE MEREUIL,CHANTAL RYBAK,,FN,MDM,,0.33710000608945234,0.2974378369787517,,Davy Champion
59-17,DIMITRI HOUBRON,THIBAUT FRANCOIS,,REM,FN,,0.2688312311768537,0.25843252594097627,,Davy Champion
59-18,MELANIE DISDIER,CLAIRE POMMEYROL-BURLET,,FN,REM,,0.2612782206259268,0.24784774497341808,,Davy Champion
59-19,ANNE-LISE DUFOUR-TONINI,SEBASTIEN CHENU,,SOC,FN,,0.22889677261666772,0.2133327220546775,,Davy Champion
59-2,AUDREY LINKENHELD,HOUMRIA BERRADA,,SOC,REM,,0.21710636205956815,0.19636549095976522,,Davy Champion
59-20,LUDOVIC DE DANNE,DANIEL ZIELINSKI,,FN,REM,,0.2833361236446581,0.2776515455855262,,Davy Champion
59-21,VALERIE CAUDRON,BEATRICE DESCAMPS,,FN,UDI,,0.2729931610439102,0.17896023385674456,,Davy Champion
59-3,REMI PAUVROS,CHRISTOPHE DI POMPEO,,SOC,REM,,0.20933672587887006,0.1984791005597292,,Davy Champion
59-4,BRIGITTE LISO,JACQUES HOUSSIN,,REM,LR,,0.2745503363486417,0.20545615844777718,,Davy Champion
59-5,SEBASTIEN HUYGHE,GUILLAUME DEKONINCK,,LR,REM,,0.24538608642078144,0.22703686886480148,,Davy Champion
59-6,THIERRY LAZARO,CHARLOTTE LECOCQ,,LR,REM,,0.27798493186267476,0.25971290984199774,,Davy Champion
59-7,FRANCIS VERCAMER,ARNAUD VERSPIEREN,,UDI,MDM,,0.2860216120384069,0.26983943304578045,,Davy Champion
59-8,CATHERINE OSSON,PAUL ZILMIA,,REM,FI,,0.2773598887582751,0.24880684818368437,,Davy Champion
59-9,BERNARD GERARD,VALERIE PETIT,,LR,REM,,0.3154260794704515,0.22817890429581741,,Davy Champion
6-1,ERIC CIOTTI,CAROLINE REVERSO-MEINIETTI,,LR,REM,,0.33579386548577783,0.26680276820839144,,Davy Champion
6-3,RUDY SALLES,CEDRIC ROUSSEL,,UDI,REM,,0.3024499042768648,0.27054625515220027,,Davy Champion
6-5,MARINE BRENIER,CHANTAL AGNELY,,LR,FN,,0.3516370741105079,0.2996922236165115,,Davy Champion
6-7,KHALED BEN ABDERRAHMANE,ERIC PAUGET,,REM,LR,,0.2938597007034563,0.29316528530889147,,Davy Champion
6-8,BERNARD BROCHAND,PHILIPPE BUERCH,,LR,REM,,0.35425213775046094,0.26869725635858793,,Davy Champion
6-9,MICHELE TABAROT,DOMINIQUE FILLEBEEN,,LR,REM,,0.3650610054295254,0.25595735627618277,,Davy Champion
60-2,GAETAN DUSSAUSAYE,AGNES THILL,,FN,REM,,0.29507041374409504,0.26546988250555226,,Davy Champion
60-3,MICHEL FRANCAIX,PASCAL BOIS,,DVG,REM,,0.23244146267072321,0.23192222015577252,,Davy Champion
60-4,ERIC WOERTH,STEPHANIE LOZANO,,LR,REM,,0.31176425604958874,0.24339537214598372,,Davy Champion
60-5,FRANCOIS GACHIGNARD,EMMANUELLE BOUR,,FN,REM,,0.26007580531002844,0.2435733894409418,,Davy Champion
60-6,PATRICE CARVALHO,MICHEL GUINIOT,,COM,FN,,0.24016908445042875,0.21966773130754347,,Davy Champion
60-7,JEAN-FRANCOIS DARDENNE,PHILIPPE LAMBILLIOTTE,,REM,FN,,0.3040816762734023,0.29255592012584036,,Davy Champion
61-1,JOAQUIM PUEYO,BERTRAND DENIAUD,,SOC,LR,,0.3131112532239832,0.2736852373583297,,Davy Champion
61-2,VERONIQUE LOUWAGIE,OPHELIE LEROUGE,,LR,REM,,0.3867674220851831,0.2593661418547606,,Davy Champion
61-3,ISABELLE BOSCHER,JEROME NURY,,REM,LR,,0.272791612853187,0.23614830048060967,,Davy Champion
62-1,AGNES CAUDRON,JEAN-JACQUES COTTEL,,FN,SOC,,0.21489912897204078,0.19507226484140902,,Davy Champion
62-10,LUDOVIC PAJOT,LAURENCE DESCHANEL,,FN,REM,,0.3517559678342406,0.2833154355775775,,Davy Champion
62-11,MARINE LE PEN,PHILIPPE KEMEL,,FN,SOC,,0.25967888657896704,0.23824850110104384,,Davy Champion
62-12,BRUNO BILDE,CORALIE REMBERT,,FN,REM,,0.35035936090336717,0.27313133141012474,,Davy Champion
62-2,JACQUELINE MAQUET,ALBAN HEUSELE,,REM,FN,,0.35263459440124073,0.16391633891718407,,Davy Champion
62-3,JOSE EVRARD,PATRICK DEBRUYNE,,FN,MDM,,0.31544116581232745,0.210026841573407,,Davy Champion
62-4,DANIEL FASQUELLE,THIBAUT GUILLUY,,LR,REM,,0.3161432708249398,0.26559799344678,,Davy Champion
62-5,JEAN-PIERRE PONT,ANTOINE GOLLIOT,,REM,FN,,0.3188458666220874,0.22678287965426489,,Davy Champion
62-6,BRIGITTE BOURGUIGNON,MARIE-CHRISTINE BOURGEOIS,,REM,FN,,0.3332280118589639,0.2535599385519322,,Davy Champion
62-7,YANN CAPET,PHILIPPE OLIVIER,,SOC,FN,,0.24007358986037428,0.231843328300295,,Davy Champion
62-8,BENOIT POTTERIE,KARINE HAVERLANT,,REM,FN,,0.28604037415643246,0.2848488060118507,,Davy Champion
62-9,JACQUES DELAIRE,STEPHANE SAINT-ANDRE,,FN,RDG,,0.2212817980901032,0.21868735325884164,,Davy Champion
63-1,VALERIE THOMAS,ALAIN LAFFONT,,REM,FI,,0.37531766988174403,0.2281395775793186,,Davy Champion
63-2,MOHAND HAMOUMOU,CHRISTINE PIRES BEAUNE,,REM,SOC,,0.27027655212786883,0.2620720441006278,,Davy Champion
63-3,LAURENCE VICHNIEVSKY,LOUIS GISCARD D'ESTAING,,MDM,UDI,,0.29522528580931334,0.21623176389350843,,Davy Champion
63-4,MICHEL FANGET,CATHERINE MOLLET,,MDM,FI,,0.3616000099090869,0.2093177353487451,,Davy Champion
63-5,SEBASTIEN GARDETTE,ANDRE CHASSAIGNE,,REM,COM,,0.2791842112881226,0.2645676575195063,,Davy Champion
64-1,JOSY POUEYTO,SEVERINE GHEDJATI,,MDM,FI,,0.38773260614509,0.17002252587350075,,Davy Champion
64-2,JEAN-PAUL MATTEI,NATHALIE CHABANNE,,MDM,SOC,,0.28738469583998527,0.24862578925226123,,Davy Champion
64-3,MICHEL BERNOS,DAVID HABIB,,REM,SOC,,0.29894539700767314,0.2564722919350676,,Davy Champion
64-4,LOIC CORREGE,JEAN LASSALLE,,REM,DVD,,0.2551259926334392,0.2397328166524988,,Davy Champion
64-5,FLORENCE LASSERRE-DAVID,COLETTE CAPDEVIELLE,,MDM,SOC,,0.26815379205368706,0.25645909363119496,,Davy Champion
64-6,VINCENT BRU,SYLVIANE ALAUX,,MDM,SOC,,0.26858893525800437,0.2521124550719096,,Davy Champion
65-1,JEAN-BERNARD SEMPASTOUS,JEAN GLAVANY,,REM,SOC,,0.3012605583864988,0.2858800829885671,,Davy Champion
65-2,MARIE-AGNES STARICKY,JEANINE DUBIE,,REM,RDG,,0.2706581242468905,0.2465766721749526,,Davy Champion
66-1,ROMAIN GRAU,ALEXANDRE BOLO,,REM,FN,,0.24298889368210205,0.19295711364066606,,Davy Champion
66-3,SEGOLENE NEUVILLE,LAURENCE GAYTE,,SOC,REM,,0.2350853534968064,0.21788675460011725,,Davy Champion
66-4,SEBASTIEN CAZENOVE,STEPHANE MASSANELL,,REM,FN,,0.26200353184658975,0.24011475880816682,,Davy Champion
67-1,THIERRY MICHELS,JEAN-MARIE BROM,,REM,FI,,0.33024405234979126,0.21113251323609222,,Davy Champion
67-2,SYLVAIN WASERMAN,PHILIPPE BIES,,MDM,SOC,,0.24460892140156124,0.2248255550586961,,Davy Champion
67-3,BRUNO STUDER,GEORGES SCHULER,,REM,LR,,0.37612294860002815,0.17690600658261438,,Davy Champion
67-4,SOPHIE ROHFRITSCH,MARTINE WONNER,,LR,REM,,0.3517254975998995,0.261588893690838,,Davy Champion
67-5,ANTOINE HERTH,ELIANE KLEIN,,LR,FN,,0.42355456511334705,0.3009891129357611,,Davy Champion
67-6,LAURENT FURST,GUY SALOMON,,LR,MDM,,0.3422503172901621,0.28679392955424293,,Davy Champion
68-1,ERIC STRAUMANN,STEPHANIE VILLEMIN,,LR,REM,,0.3406616931698219,0.26750212536315937,,Davy Champion
68-2,HUBERT OTT,JACQUES CATTIN,,REM,LR,,0.306546116446697,0.25060503618909347,,Davy Champion
68-3,JEAN-LUC REITZER,PATRICK STRIBY,,LR,REM,,0.3483511094484664,0.250709443171759,,Davy Champion
68-4,ALAIN FAVALETTO,AURELIE TACQUARD,,FN,REM,,0.2890954035573005,0.26253249108121257,,Davy Champion
68-5,CECILE LEHR,CHRISTELLE RITZ,,REM,FN,,0.37242955818763074,0.17889279675851497,,Davy Champion
68-6,FRANCIS HILLMEYER,BRUNO FUCHS,,UDI,REM,,0.30394217393011663,0.2695841332113285,,Davy Champion
69-1,ELLIOTT AUBIN,ANNE LORNE,,FI,LR,,0.26581248039399075,0.23999002625571914,,Davy Champion
69-10,THOMAS GASSILLOUD,SOPHIE CRUZ,,REM,LR,,0.31390796720592834,0.28811406604848083,,Davy Champion
69-11,JEAN-LUC FUGIT,GEORGES FENECH,,REM,LR,,0.2742737139033633,0.2548694149781953,,Davy Champion
69-12,CYRILLE ISAAC-SIBILLE,JEROME MOROGE,,MDM,LR,,0.3527351192906886,0.26171230414793456,,Davy Champion
69-13,DANIELE CAZARIAN,PHILIPPE MEUNIER,,REM,LR,,0.2867747973385138,0.2837613760386025,,Davy Champion
69-14,YVES BLEIN,BENJAMIN NIVARD,,REM,FI,,0.4193384815020135,0.2445934214289471,,Davy Champion
69-2,HUBERT JULIEN-LAFERRIERE,ELENI FERLET,,REM,FI,,0.3557156635924852,0.22846163267870634,,Davy Champion
69-3,JEAN-LOUIS TOURAINE,PASCAL LE BRUN,,REM,FI,,0.36981954035228093,0.18923532883386746,,Davy Champion
69-4,DOMINIQUE NACHURY,ANNE BRUGNERA,,LR,REM,,0.33512500106040743,0.32381087918998114,,Davy Champion
69-5,PHILIPPE COCHET,BLANDINE BROCARD,,LR,REM,,0.39906280895302443,0.3100365056755872,,Davy Champion
69-6,BRUNO BONNELL,LAURENT LEGENDRE,,REM,FI,,0.3156558981829046,0.20857978075638367,,Davy Champion
69-7,ANISSA KHEDHER,RENAUD GAUQUELIN,,REM,SOC,,0.27583061109738927,0.1956494712278111,,Davy Champion
69-8,PATRICE VERCHERE,JOELLE TERROIR,,LR,MDM,,0.3472561634975121,0.2703145308480242,,Davy Champion
69-9,BERNARD PERRUT,MARION CROIZEAU,,LR,REM,,0.3373045815762027,0.27175912049921463,,Davy Champion
7-1,ANDRE DUPONT,CELINE PORQUET,,REM,FN,,0.27971822802168517,0.18506678639151708,,Davy Champion
7-2,LAURETTE GOUYET-POMMARET,OLIVIER DUSSOPT,,REM,SOC,,0.24489169694277838,0.2427452551128906,,Davy Champion
7-3,SABINE BUIS,MATTHIEU PEYRAUD,,SOC,REM,,0.24587147023967038,0.23233679879744515,,Davy Champion
70-2,MAURICE MONNIER,CHRISTOPHE LEJEUNE,,FN,REM,,0.31623181100130027,0.3051236947175115,,Davy Champion
71-1,BENJAMIN DIRX,JEAN-PATRICK COURTOIS,,REM,LR,,0.2815919422170628,0.18320765349313634,,Davy Champion
71-2,VINCENT CHAUVET,JOSIANE CORNELOUP,,MDM,LR,,0.30091947597319574,0.22694390455781324,,Davy Champion
71-3,PHILIPPE BAUMEL,REMY REBEYROTTE,,SOC,REM,,0.24901290780851326,0.23607928194020905,,Davy Champion
71-4,CECILE UNTERMAIER,CATHERINE GABRELLE,,SOC,REM,,0.25571719150787975,0.22286414273469143,,Davy Champion
71-5,RAPHAEL GAUVAIN,CHRISTOPHE SIRUGUE,,REM,SOC,,0.28719165780717515,0.15679330982145956,,Davy Champion
72-2,MARIETTA KARAMANLI,AURELIE PEROT,,SOC,REM,,0.24316485924923043,0.21383653154147797,,Davy Champion
72-3,BEATRICE PAVY-MORANCAIS,PASCALE FONTENEL-PERSONNE,,LR,REM,,0.2985726931968741,0.2563849506476715,,Davy Champion
72-4,STEPHANE LE FOLL,EMMANUEL FRANCO,,SOC,LR,,0.2753457572430401,0.265743650267315,,Davy Champion
72-5,JEAN-CARLES GRELIER,WILLY COLIN,,LR,REM,,0.31335935812574045,0.311579084884145,,Davy Champion
73-1,DOMINIQUE DORD,TYPHANIE DEGOIS,,LR,REM,,0.34117346022187556,0.315067205934401,,Davy Champion
73-2,VINCENT ROLLAND,JEAN-MARIE GARCIN,,LR,FN,,0.3783413833691507,0.20209831992855323,,Davy Champion
73-3,PHILIP VIVIER,EMILIE BONNIVARD,,REM,LR,,0.284943553042754,0.17614091637714394,,Davy Champion
73-4,PATRICK MIGNOLA,BERNADETTE LACLAIS,,MDM,DVG,,0.25332619211323404,0.2403718939856245,,Davy Champion
74-1,VERONIQUE RIOTTON,ANNABEL ANDRE-LAURENT,,REM,LR,,0.29190484244951626,0.23591712307422508,,Davy Champion
74-2,LIONEL TARDY,FREDERIQUE LARDET,,LR,REM,,0.25170646058347634,0.2343187847853317,,Davy Champion
74-3,MARTIAL SADDIER,GUILLAUME GIBOUIN,,LR,REM,,0.3178856373761662,0.27121342262771164,,Davy Champion
74-4,VIRGINIE DUBY-MULLER,LAURA DEVIN,,LR,REM,,0.3446952530259749,0.27612508798590496,,Davy Champion
74-5,MARION LENNE,PATRICIA MAHUT,,REM,LR,,0.28744862798738946,0.2642731580123053,,Davy Champion
74-6,SOPHIE DION,XAVIER ROSEREN,,LR,REM,,0.3427548789757894,0.2802339863289409,,Davy Champion
75-1,SYLVAIN MAILLARD,JEAN-FRANCOIS LEGARET,,REM,LR,,0.40271632349836706,0.2772700756709202,,Davy Champion
75-10,ANNE-CHRISTINE LANG,LEILA CHAIBI,,REM,FI,,0.37421956047752053,0.18331885956893934,,Davy Champion
75-11,MARIELLE DE SARNEZ,PASCAL CHERKI,,MDM,SOC,,0.34922070180259795,0.20346985048798366,,Davy Champion
75-12,PHILIPPE GOUJON,OLIVIA GREGOIRE,,LR,REM,,0.4170733814387659,0.36531209470045917,,Davy Champion
75-13,HUGUES RENSON,JEAN-FRANCOIS LAMOUR,,REM,LR,,0.3558348976853761,0.34855121567822533,,Davy Champion
75-14,CLAUDE GOASGUEN,VALERIE BOUGAULT-DELAGE,,LR,REM,,0.48321689434273335,0.3131794507184474,,Davy Champion
75-15,MEHDI KEMOUNE,GEORGE PAU-LANGEVIN,,FI,SOC,,0.3191031306500007,0.3027611010128869,,Davy Champion
75-16,MOUNIR MAHJOUBI,SARAH LEGRAIN,,REM,FI,,0.24656756035053057,0.1853258243892878,,Davy Champion
75-17,BEATRICE FAILLES,DANIELE OBONO,,REM,FI,,0.24668912470186305,0.232132809432554,,Davy Champion
75-18,PAUL VANNIER,PIERRE-YVES BOURNAZEL,,FI,LR,,0.2926230826274157,0.2139144739650783,,Davy Champion
75-2,GILLES LE GENDRE,NATHALIE KOSCIUSKO-MORIZET,,REM,LR,,0.2792051695265501,0.26283471808637876,,Davy Champion
75-3,STANISLAS GUERINI,ANNICK LEPETIT,,REM,SOC,,0.3355165010246386,0.2174077748341958,,Davy Champion
75-4,BRIGITTE KUSTER,ILANA CICUREL,,LR,REM,,0.40116881717104863,0.3809708448434734,,Davy Champion
75-5,BENJAMIN GRIVEAUX,SEYBAH DAGOMA,,REM,SOC,,0.36828412712660835,0.20163319579708733,,Davy Champion
75-6,PIERRE PERSON,DANIELLE SIMONNET,,REM,FI,,0.2842317278463886,0.19954807405868835,,Davy Champion
75-7,PACOME RUPIN,PATRICK BLOCHE,,REM,SOC,,0.36430916813980463,0.21525885544489737,,Davy Champion
75-8,LAETITIA AVIA,SANDRINE MAZETIER,,REM,SOC,,0.32004112446139465,0.2209059803063117,,Davy Champion
75-9,BUON TAN,RAPHAEL QNOUCH,,REM,FI,,0.35466845297382626,0.19590955932734733,,Davy Champion
76-1,DAMIEN ADAM,VALERIE FOURNEYRON,,REM,SOC,,0.2736552069931301,0.2571158451454702,,Davy Champion
76-10,XAVIER BATUT,STACY BLONDEL,,REM,FN,,0.2692661741731928,0.26288332304797546,,Davy Champion
76-2,FRANCOISE GUEGOT,ANNIE VIDAL,,LR,REM,,0.296658351927775,0.2719446178143884,,Davy Champion
76-3,CYRILLE GRENOT,LUCE PANE,,REM,SOC,,0.3145402266713254,0.2859770494811227,,Davy Champion
76-4,SIRA SYLLA,LAURA THIEBLEMONT,,REM,FI,,0.22078190122194935,0.17830989070646336,,Davy Champion
76-5,CHRISTOPHE BOUILLON,BENEDICTE LE MOEL,,SOC,FN,,0.2905315406786128,0.23809299239816384,,Davy Champion
76-6,PHILIPPE DUFOUR,NICOLAS BAY,,REM,FN,,0.26411388457001855,0.2639872664036859,,Davy Champion
76-7,GERALD MANIABLE,AGNES FIRMIN LE BODO,,FI,LR,,0.2564465825830323,0.2417944787040029,,Davy Champion
76-8,CATHERINE TROALLIC,FRANCOIS PANCHOUT,,SOC,FI,,0.2325001920163162,0.2257798530653774,,Davy Champion
76-9,ESTELLE GRELIER,GENEVIEVE SALVISBERG,,SOC,FN,,0.21477895416780576,0.20241107519585946,,Davy Champion
77-1,AUDE LUQUET,DENIS JULLEMIER,,MDM,LR,,0.30952239952396526,0.19279337692284332,,Davy Champion
77-10,STEPHANIE DO,MAXIME LAISNEY,,REM,FI,,0.3503231107282722,0.2241725426410299,,Davy Champion
77-11,OLIVIER FAURE,AMANDINE RUBINELLI,,SOC,REM,,0.2602569904731855,0.25778373464246385,,Davy Champion
77-2,VALERIE LACROUTE,ESTELLE ROUSSEAU,,LR,REM,,0.320174156327574,0.29649463937384585,,Davy Champion
77-3,YVES JEGO,AYMERIC DUROX,,UDI,FN,,0.3649672233606867,0.23317330881467455,,Davy Champion
77-5,FRANCK RIESTER,JOFFREY BOLLEE,,LR,FN,,0.38068449199132315,0.22885733821599552,,Davy Champion
77-6,LAETITIA MARTIG-DECES,BEATRICE ROULLAUD,,REM,FN,,0.2940828514054937,0.21552462623664007,,Davy Champion
77-7,RODRIGUE KOKOUENDO,YVES ALBARELLO,,REM,LR,,0.27501754485396757,0.2724371396601439,,Davy Champion
77-8,JEAN-MICHEL FAUVERGUE,EDUARDO RIHAN CYPEL,,REM,SOC,,0.2746187337545812,0.23651824041423894,,Davy Champion
77-9,GUY GEOFFROY,MICHELE PEYRON,,LR,REM,,0.29342272027225896,0.2915357030030874,,Davy Champion
78-1,DIDIER BAICHERE,FRANCOIS-XAVIER BELLAMY,,REM,LR,,0.3522615789182533,0.30381836869621104,,Davy Champion
78-10,AURORE BERGE,JEAN-FREDERIC POISSON,,REM,DVD,,0.3217637084521567,0.2843570367723769,,Davy Champion
78-11,NADIA HAI,BENOIT HAMON,,REM,SOC,,0.2822769901491331,0.2793934937367795,,Davy Champion
78-12,DAVID DOUILLET,FLORENCE GRANJUS,,LR,REM,,0.33417461592294967,0.31717312342673754,,Davy Champion
78-2,PASCAL THEVENOT,JEAN-NOEL BARROT,,LR,MDM,,0.3312346992565657,0.31634737392413537,,Davy Champion
78-3,BEATRICE PIRON,PHILIPPE BRILLAULT,,REM,LR,,0.3432562528335157,0.3309013366367269,,Davy Champion
78-4,MARIE LEBEC,GHISLAIN FOURNIER,,REM,LR,,0.3772056666311126,0.28141652627445485,,Davy Champion
78-5,JACQUES MYARD,YAEL BRAUN-PIVET,,LR,REM,,0.3809631664098594,0.3421952000923461,,Davy Champion
78-6,PIERRE MORANGE,NATALIA POUZYREFF,,LR,REM,,0.3915687603230438,0.3201381276878255,,Davy Champion
78-7,MICHELE DE VAUCOULEURS,ARNAUD RICHARD,,MDM,UDI,,0.31456686007298995,0.2913210233167759,,Davy Champion
78-8,FRANCOISE DESCAMPS-CROSNIER,KHADIJA MOUDNIB,,SOC,REM,,0.2513139504210223,0.23181608931783987,,Davy Champion
78-9,BRUNO MILLIENNE,JEAN-MARIE TETART,,MDM,LR,,0.29487797942328475,0.283390923468683,,Davy Champion
79-1,GUILLAUME CHICHE,NATHALIE SEGUIN,,REM,FI,,0.3926695026386229,0.16788647699209472,,Davy Champion
79-2,DELPHINE BATHO,CHRISTINE HEINTZ,,SOC,REM,,0.2825759410313548,0.26654268672541126,,Davy Champion
79-3,JEAN-MARIE FIEVET,VERONIQUE SCHAAF-GAUTHIER,,REM,LR,,0.3570074725381034,0.24015313132808347,,Davy Champion
8-2,MARIO IGLESIAS,CHRISTOPHE LEONARD,,REM,SOC,,0.2390332207506643,0.23703653096295063,,Davy Champion
80-1,PASCALE BOISTARD,NICOLAS DUMONT,,SOC,REM,,0.28285952927345914,0.23044311801696796,,Davy Champion
80-2,BARBARA POMPILI,OLIVIER JARDE,,REM,DVD,,0.3458432340958526,0.1500221963753801,,Davy Champion
80-4,JEAN-CLAUDE LECLABART,ERIC RICHERMOZ,,REM,FN,,0.28760349375632666,0.2846230223396133,,Davy Champion
80-5,LOIC GRIMAUX,STEPHANE DEMILLY,,FN,UDI,,0.3497099040064924,0.34624891510330824,,Davy Champion
81-1,PHILIPPE FOLLIOT,ANNE-MICHELE BIANCHI,,DVD,LR,,0.3780683794397778,0.16916153699791872,,Davy Champion
81-2,MARIE-CHRISTINE VERDIER-JOUCLAS,THOMAS DOMENECH,,REM,FI,,0.2639089081459981,0.2106983410724803,,Davy Champion
81-3,JEAN TERLIER,LINDA GOURJADE,,REM,SOC,,0.2185198785331952,0.2077018863323477,,Davy Champion
82-1,VALERIE RABAULT,PIERRE MARDEGAN,,SOC,REM,,0.24225614882786478,0.2414583093645114,,Davy Champion
82-2,SYLVIA PINEL,ROMAIN LOPEZ,,RDG,FN,,0.30351768067199303,0.2691636290028912,,Davy Champion
83-1,GENEVIEVE LEVY,ELISABETH CHANTRIEUX,,LR,REM,,0.2762039422546489,0.22327392685812678,,Davy Champion
83-3,ALEXANDRE ZAPOLSKY,JEAN-LOUIS MASSON,,REM,LR,,0.27148309922600433,0.25814855272827075,,Davy Champion
83-6,JEROME RIVIERE,VALERIE GOMEZ-BASSAC,,FN,REM,,0.25479436900185465,0.22337155346717827,,Davy Champion
83-7,JEAN-SEBASTIEN VIALATTE,EMILIE GUEREL,,LR,REM,,0.2657918923659492,0.22087295770263324,,Davy Champion
84-1,JEAN-FRANCOIS CESARINI,AMANDINE LAUGIER,,REM,FI,,0.31664325880300337,0.2309135880897556,,Davy Champion
84-3,HERVE DE LEPINAU,BRUNE POIRSON,,FN,REM,,0.2861355453817419,0.2517711736297419,,Davy Champion
85-1,PHILIPPE LATOMBE,ALAIN LEBOEUF,,MDM,LR,,0.3165396746790325,0.31455785333544267,,Davy Champion
85-2,PATRICIA GALLERNEAU,SYLVIANE BULTEAU,,MDM,SOC,,0.2434786099904715,0.23093451352840183,,Davy Champion
85-3,STEPHANE BUCHOU,FLORENCE PINEAU,,REM,LR,,0.30739577065391743,0.2926341580721512,,Davy Champion
85-4,MARTINE LEGUILLE-BALLOY,WILFRID MONTASSIER,,REM,UDI,,0.34352608522321304,0.2987509292929263,,Davy Champion
85-5,PIERRE HENRIET,HUGUES FOURAGE,,REM,SOC,,0.2407330885290812,0.23203328776349064,,Davy Champion
86-1,JACQUES SAVATIER,CELINE CUVILLIER,,REM,FI,,0.3575248078133711,0.2019231879483583,,Davy Champion
86-2,SACHA HOULIE,FREDERIC ABRACHKOFF,,REM,FI,,0.36237154275667105,0.19909832316740295,,Davy Champion
86-3,JEAN-MICHEL CLEMENT,ENGUERRAND DELANNOY,,REM,LR,,0.3559934268837774,0.18159776326322163,,Davy Champion
86-4,VERONIQUE MASSONNEAU,NICOLAS TURQUOIS,,ECO,MDM,,0.27054587544736197,0.24233418999049247,,Davy Champion
87-1,SOPHIE BEAUDOUIN-HUBIERE,DANIELLE SOURY,,REM,FI,,0.3374787428935478,0.2056103804086905,,Davy Champion
