circo,candidat1,candidat2,candidat3,color1,color2,color3,score1,score2,score3,nom circo
19-1,CHRISTOPHE JERRETIE,JEAN-MARC VAREILLE,,REM,FI,,0.36702935601693576,0.22544084638828146,,Davy Champion
19-2,PHILIPPE NAUCHE,PATRICIA BORDAS,,SOC,REM,,0.2632341770377156,0.2588267164428843,,Davy Champion
2-1,DAMIEN PHILIPPOT,AUDE BONO-VANDORME,,FN,REM,,0.29044752939693913,0.25194618974400707,,Davy Champion
2-2,JULIEN DIVE,SYLVIE SAILLARD-MEUNIER,,LR,FN,,0.3298626735391884,0.30822700555046895,,Davy Champion
2-4,MARIE-FRANCOISE BECHTEL,MARC DELATTE,,DVG,REM,,0.22184762070654918,0.2180994900996033,,Davy Champion
2-5,JACQUES KRABAL,FRANCOIS DE VOYER,,REM,FN,,0.3184896451159186,0.2249610127851487,,Davy Champion
21-1,DIDIER MARTIN,ANNE ERSCHENS,,REM,LR,,0.3226274040669547,0.22944502100591505,,Davy Champion
21-2,FRANCOIS DESEILLE,REMI DELATTE,,REM,LR,,0.2689123075017062,0.26464804681604454,,Davy Champion
21-3,FADILA KHATTABI,KHEIRA BOUZIANE-LAROUSSI,,REM,DVG,,0.25880904035309477,0.2522754411705573,,Davy Champion
21-4,YOLAINE DE COURSON,CHARLES BARRIERE,,REM,LR,,0.24319947820774296,0.19864891243659089,,Davy Champion
22-1,BRUNO JONCOUR,MICHEL LESAGE,,MDM,SOC,,0.28192308519850195,0.25025204270324736,,Davy Champion
22-2,HERVE BERVILLE,VIVIANE LE DISSEZ,,REM,SOC,,0.2621330101019378,0.22511120230452622,,Davy Champion
22-3,MARC LE FUR,OLIVIER ALLAIN,,LR,REM,,0.32022096878248835,0.31108006882998573,,Davy Champion
22-4,YANNICK KERLOGOT,ANNIE LE HOUEROU,,REM,SOC,,0.26602849861458244,0.24607040857264084,,Davy Champion
22-5,ERIC BOTHOREL,JEAN-YVES DE CHAISEMARTIN,,REM,UDI,,0.38853459756340725,0.16599072081094043,,Davy Champion
23-1,JEAN-BAPTISTE MOREAU,MICHEL VERGNIER,,REM,SOC,,0.24429367839781066,0.224905607611182,,Davy Champion
24-1,PHILIPPE CHASSAING,HELENE REYS,,REM,FI,,0.3017771439723444,0.2249327628676237,,Davy Champion
24-2,MICHEL DELPON,BRIGITTE ALLAIN,,REM,ECO,,0.2408286420414268,0.23821497341220807,,Davy Champion
24-3,COLETTE LANGLADE,JEAN-PIERRE CUBERTAFON,,SOC,MDM,,0.2671094617972897,0.22475910747041017,,Davy Champion
24-4,JACQUELINE DUBOIS,EMILIE CHALARD,,REM,FI,,0.23571808812785605,0.18054736147900405,,Davy Champion
25-1,FANNETTE CHARVIER,BARBARA ROMAGNAN,,REM,SOC,,0.25909815133417885,0.234176932436979,,Davy Champion
25-2,ERIC ALAUZET,LUDOVIC FAGAUT,,ECO,LR,,0.3154636470008609,0.20953481668957188,,Davy Champion
25-3,DENIS SOMMER,LOUP VIALLET,,REM,FN,,0.30138215296696275,0.23329485663807617,,Davy Champion
25-4,FREDERIC BARBIER,SOPHIE MONTEL,,REM,FN,,0.37303026397754563,0.261489340731695,,Davy Champion
25-5,ANNIE GENEVARD,SYLVIE LE HIR,,LR,REM,,0.38170136653894576,0.25753337906326174,,Davy Champion
26-1,MIREILLE CLAPOT,BERTRAND RACT-MADOUX,,REM,LR,,0.3492285461940827,0.2031241655436841,,Davy Champion
26-2,FRANCK REYNIER,ALICE THOUROT,,UDI,REM,,0.284738593934211,0.23320637457576898,,Davy Champion
26-3,CELIA DE LAVERGNE,DIDIER THEVENIEAU,,REM,FI,,0.29275586175867313,0.21612675575782003,,Davy Champion
26-4,LATIFA CHAY,BRUNO DERLY,,REM,FN,,0.2822146384322846,0.22636776401216344,,Davy Champion
27-1,BRUNO LE MAIRE,FABIENNE DELACOUR,,REM,FN,,0.35975380811715413,0.2208779259482826,,Davy Champion
27-2,FABIEN GOUTTEFARDE,EMMANUEL CAMOIN,,REM,FN,,0.22613258490395655,0.21140487813217565,,Davy Champion
27-3,TIMOTHEE HOUSSIN,MARIE TAMARELLE-VERHAEGUE,,FN,MDM,,0.2607687355980948,0.2422353188901415,,Davy Champion
27-4,BRUNO QUESTEL,DORIS PERREAUX,,REM,FN,,0.2878366548362651,0.23366085836346312,,Davy Champion
27-5,VINCENT TAILLIEU,CLAIRE O'PETIT,,FN,REM,,0.2331765596083959,0.2257610708791458,,Davy Champion
28-1,GUILLAUME KASBARIAN,FRANCK MASSELUS,,REM,LR,,0.3061734798069793,0.2244933746374193,,Davy Champion
28-2,OLIVIER MARLEIX,CLAIRE-TASSADIT HOUD,,LR,REM,,0.30114724170286433,0.2525088470063844,,Davy Champion
28-3,LAURE DE LA RAUDIERE,GUYLAINE BERCHER,,LR,FN,,0.369622284538418,0.22872874361426093,,Davy Champion
29-1,ANNAIG LE MEUR,JEAN-JACQUES URVOAS,,REM,SOC,,0.30928432661065036,0.24818625070488265,,Davy Champion
29-2,JEAN-CHARLES LARSONNEUR,PATRICIA ADAM,,REM,SOC,,0.2777441983157348,0.2293803386398953,,Davy Champion
29-3,DIDIER LE GAC,JEAN-LUC BLEUNVEN,,REM,DVG,,0.27975001924431103,0.2525367492232151,,Davy Champion
29-4,SANDRINE LE FEUR,JULIEN KERGUILLEC,,REM,FI,,0.3252113839631928,0.177624710042435,,Davy Champion
29-5,GRAZIELLA MELCHIOR,CHANTAL GUITTET,,REM,SOC,,0.3092503687844774,0.28033704826237493,,Davy Champion
29-6,RICHARD FERRAND,JEAN-MICHEL LUCAS,,REM,FI,,0.4378499594493776,0.16332116761271565,,Davy Champion
29-7,LILIANE TANGUY,DIDIER GUILLON,,REM,LR,,0.3474446079157971,0.17663968775390862,,Davy Champion
29-8,ERWAN BALANANT,EMMANUEL MAGNAN,,REM,FI,,0.32649691555694466,0.1530171892458967,,Davy Champion
2a-1,MARIA GUIDICELLI,JEAN-JACQUES FERRARA,,REM,LR,,0.43172094111040266,0.23551484985925952,,Davy Champion
2a-2,CAMILLE DE ROCCA SERRA,JEAN-CHARLES ORSUCCI,,LR,REM,,0.42486823435850823,0.34045011147351034,,Davy Champion
2b-1,SAUVEUR GANDOLFI-SCHEIT,FRANCOIS ORLANDI,,LR,REM,,0.30226992383031714,0.2844274961386065,,Davy Champion
2b-2,FRANCIS GIUDICI,STEPHANIE GRIMALDI,,REM,LR,,0.35204269329321364,0.22825605508196944,,Davy Champion
3-1,PAULINE RIVIERE,PIERRE-ANDRE PERISSOL,,REM,LR,,0.31584726500318244,0.2349741595399564,,Davy Champion
3-2,LAURENCE VANCEUNEBROCK-MIALON,SYLVAIN BOURDIER,,REM,FI,,0.33162948548229904,0.17837459627021632,,Davy Champion
3-3,BENEDICTE PEYROL,GABRIEL MAQUIN,,REM,LR,,0.34427959250786455,0.2316484914549053,,Davy Champion
30-1,FRANCOISE DUMAS,YOANN GILLET,,REM,FN,,0.3546797505355444,0.21028905440534384,,Davy Champion
30-2,GILBERT COLLARD,SARA MARIE,,FN,MDM,,0.3213882079223312,0.23927671971587727,,Davy Champion
30-3,ANTHONY CELLIER,MONIQUE TEZENAS DU MONTCEL,,REM,FN,,0.2445286638963709,0.22307560497148385,,Davy Champion
30-4,FABRICE VERDIER,ANNIE CHAPELIER,,SOC,REM,,0.19804540611639246,0.19408482412939324,,Davy Champion
30-5,OLIVIER GAILLARD,GUILLAUME ROIRON,,REM,FI,,0.2299728279992523,0.19457668698335456,,Davy Champion
30-6,PHILIPPE BERTA,CHRISTOPHE CAVARD,,REM,ECO,,0.21640558642368635,0.21580439630856213,,Davy Champion
31-1,PIERRE CABARE,CATHERINE LEMORTON,,REM,SOC,,0.30337300465465805,0.2544249427253243,,Davy Champion
31-10,SEBASTIEN NADOT,KADER ARIF,,REM,SOC,,0.24370276350503395,0.19499126373953263,,Davy Champion
31-2,JEAN-LUC LAGLEIZE,GERARD BAPT,,MDM,SOC,,0.2664284942023511,0.2302000671604616,,Davy Champion
31-3,CORINNE VIGNON,LAURENCE ARRIBAGE,,REM,LR,,0.31090213308553305,0.2996772796710666,,Davy Champion
31-4,MICKAEL NOGAL,MARTINE MARTINEL,,REM,SOC,,0.2396406886136909,0.22879785291528293,,Davy Champion
31-5,JEAN-FRANCOIS PORTARRIEU,SYLVIE ESPAGNOLLE-LABRUNE,,REM,FI,,0.318095840604606,0.1816353434915431,,Davy Champion
31-6,MONIQUE IBORRA,PATRICK JIMENA,,REM,FI,,0.3862772101192319,0.18323569133277257,,Davy Champion
31-7,ELISABETH TOUTUT-PICARD,CHRISTOPHE BEX,,REM,FI,,0.29584023689813127,0.20642389998917063,,Davy Champion
31-8,MICHEL MONTSARRAT,MARIE-CHRISTINE PAROLIN,,REM,FN,,0.32180606905686676,0.19327140742408705,,Davy Champion
31-9,CHRISTOPHE BORGEL,SANDRINE MORCH,,SOC,REM,,0.24598931436837448,0.24259227715359977,,Davy Champion
32-1,JEAN-RENE CAZENEUVE,PASCAL PENETRO,,REM,FI,,0.36190667959576805,0.18541956580434096,,Davy Champion
32-2,CHRISTOPHER SOCCIO,GISELE BIEMOURET,,REM,SOC,,0.2522737046049435,0.22758002679271583,,Davy Champion
33-1,DOMINIQUE DAVID,NICOLAS FLORIAN,,REM,LR,,0.33056370980194444,0.25587481283093505,,Davy Champion
33-10,FLORENT BOUDIE,JEAN-PAUL GARRAUD,,REM,LR,,0.3837664827109248,0.19724568148884672,,Davy Champion
33-11,EDWIGE DIAZ,VERONIQUE HAMMERER,,FN,REM,,0.29333215382349953,0.2910596231424656,,Davy Champion
33-12,CHRISTELLE DUBOS,CHRISTOPHE MIQUEU,,REM,FI,,0.3317561726417067,0.19725620230730673,,Davy Champion
33-2,CATHERINE FABRE,MICHELE DELAUNAY,,REM,SOC,,0.2720839206707319,0.25540259410497534,,Davy Champion
33-3,MARIK FETOUH,LOIC PRUD'HOMME,,REM,FI,,0.3592409229528237,0.3026405568051506,,Davy Champion
33-4,AZIZ S'KALLI-BOUAZIZA,MAUD BESSON,,REM,FI,,0.3593919474562082,0.272682533425694,,Davy Champion
33-5,PASCALE GOT,BENOIT SIMIAN,,SOC,REM,,0.25820723632601195,0.2394292307578459,,Davy Champion
33-6,ERIC POULLIAT,MARIE RECALDE,,REM,SOC,,0.2962251320011224,0.25456954265527754,,Davy Champion
33-7,BERANGERE COUILLARD,JOHANNE SEBAUX,,REM,FI,,0.3543518791419837,0.2062868756998544,,Davy Champion
33-8,YVES FOULON,SOPHIE PANONACLE,,LR,REM,,0.3261388446043363,0.3075073723716218,,Davy Champion
33-9,SOPHIE METTE,GILLES SAVARY,,MDM,SOC,,0.2569122155598583,0.2502675261690962,,Davy Champion
34-1,JEAN-LOUIS ROUMEGAS,PATRICIA MIRALLES,,ECO,REM,,0.2115825062227032,0.20354172794976502,,Davy Champion
34-2,ANNE-YVONNE LE DAIN,STEPHANIE JANNIN,,DVG,REM,,0.16259431672063449,0.16038926159116887,,Davy Champion
34-3,CORALIE DUBOST,FANNY DOMBRE COSTE,,REM,SOC,,0.23757763884945515,0.21246382564658922,,Davy Champion
34-4,JEAN-FRANCOIS ELIAOU,FREDERIC ROIG,,REM,SOC,,0.2036953143862531,0.19747924645964726,,Davy Champion
34-5,PHILIPPE HUPPE,GILLES ARDINAT,,REM,FN,,0.23826696484827922,0.22310313253836137,,Davy Champion
34-7,CHRISTOPHE EUZET,SEBASTIEN DENAJA,,REM,SOC,,0.19822224705178978,0.1894156067413842,,Davy Champion
34-8,NICOLAS DEMOULIN,CHRISTIAN ASSAF,,REM,SOC,,0.20248280598486254,0.19869643509817778,,Davy Champion
34-9,PATRICK VIGNAL,GUILLAUME VOUZELLAUD,,REM,FN,,0.34493237759706363,0.18781472243354108,,Davy Champion
35-1,MOSTAPHA LAABID,MARIE-ANNE CHAPDELAINE,,REM,SOC,,0.28708797554930326,0.2027712033676296,,Davy Champion
35-2,LAURENCE MAILLART-MEHAIGNERIE,BERTRAND PLOUVIER,,MDM,LR,,0.366224945638192,0.1656472035404235,,Davy Champion
35-3,FRANCOIS ANDRE,VIRGINIE ABAUTRET,,SOC,FI,,0.3041881514769473,0.1832662798647333,,Davy Champion
35-4,GAEL LE BOHEC,MARC MARTIN,,REM,FI,,0.36238545863479554,0.17150529245234797,,Davy Champion
